sample	phylum	read_count	contig_count	bin_count	contig_percent	bin_percent
ERR8314741	p__Chrysiogenota	224	0	0	0.00	0.00
ERR8314741	p__Fusobacteriota	352	17	0	4.83	0.00
ERR8314741	p__Acidobacteriota	223	2	0	0.90	0.00
ERR8314741	p__Chloroflexota	353	5	0	1.42	0.00
ERR8314741	p__Synergistota	299	0	0	0.00	0.00
ERR8314741	p__Chlamydiota	62	0	0	0.00	0.00
ERR8314741	p__Caldisericota	28	0	0	0.00	0.00
ERR8314741	p__Cloacimonadota	58	16	0	27.59	0.00
ERR8314741	p__Vulcanimicrobiota	38	0	0	0.00	0.00
ERR8314741	p__Bacteroidota_A	65	6	26	9.23	40.00
ERR8314741	p__UBA9089	9	0	0	0.00	0.00
ERR8314741	p__Hydrogenedentota	16	0	0	0.00	0.00
ERR8314741	p__Thermotogota	12	0	0	0.00	0.00
ERR8314741	p__Desulfobacterota_D	4	0	0	0.00	0.00
ERR8314741	p__Krumholzibacteriota	7	0	0	0.00	0.00
ERR8314741	p__Nitrospirota	17	0	0	0.00	0.00
ERR8314741	p__Babelota	13	11	0	84.62	0.00
ERR8314741	p__Deinococcota	3	0	0	0.00	0.00
ERR8314741	p__Armatimonadota	17	0	0	0.00	0.00
ERR8314741	p__Omnitrophota	7	0	0	0.00	0.00
ERR8314741	p__Gemmatimonadota	33	15	0	45.45	0.00
ERR8314741	p__Moduliflexota	2	0	0	0.00	0.00
ERR8314741	p__UBP6	1	0	0	0.00	0.00
ERR8314741	p__WOR-3	2	0	0	0.00	0.00
ERR8314741	p__Desulfobacterota_B	2	19	0	950.00	0.00
ERR8314741	p__Bdellovibrionota	6	0	0	0.00	0.00
ERR8314741	p__Bipolaricaulota	2	0	0	0.00	0.00
ERR8314741	p__Muiribacteriota	7	0	0	0.00	0.00
ERR8314741	p__SAR324	1	0	0	0.00	0.00
ERR8314741	p__Sumerlaeota	3	0	0	0.00	0.00
ERR8314741	p__Latescibacterota	4	0	0	0.00	0.00
ERR8314741	p__UBA3054	2	0	0	0.00	0.00
ERR8314741	p__Electryoneota	1	0	0	0.00	0.00
ERR8314741	p__CG2-30-53-67	3	0	0	0.00	0.00
ERR8314741	p__Marinisomatota	1	0	0	0.00	0.00
ERR8314741	p__JAWLBW01	1	0	0	0.00	0.00
ERR8314741	p__Zixibacteria	2	0	0	0.00	0.00
ERR8314741	p__UBA10199	1	0	0	0.00	0.00
ERR8314741	p__Myxococcota_A	2	0	0	0.00	0.00
ERR8314741	p__Eisenbacteria	5	0	0	0.00	0.00
ERR8314741	p__Calditrichota	2	0	0	0.00	0.00
ERR8314741	p__BMS3Abin14	4	0	0	0.00	0.00
ERR8314741	p__Sysuimicrobiota	2	0	0	0.00	0.00
ERR8314741	p__Zhuqueibacterota	1	0	0	0.00	0.00
ERR8314741	p__Margulisbacteria	1	0	0	0.00	0.00
ERR8314741	p__Methanobacteriota	644	209	0	32.45	0.00
ERR8314741	p__Thermoplasmatota	306	11	0	3.59	0.00
ERR8314741	p__Halobacteriota	128	0	0	0.00	0.00
ERR8314741	p__Thermoproteota	26	0	0	0.00	0.00
ERR8314741	p__Altiarchaeota	1	0	0	0.00	0.00
ERR8314741	p__Nanobdellota	4	0	0	0.00	0.00
ERR8314741	p__Asgardarchaeota	3	0	0	0.00	0.00
ERR8314741	p__Micrarchaeota	2	0	0	0.00	0.00
ERR8314742	p__Bacteroidota	3417665	2127389	119610	62.25	3.50
ERR8314742	p__Pseudomonadota	36044	6697	0	18.58	0.00
ERR8314742	p__Bacillota	776794	194053	8747	24.98	1.13
ERR8314742	p__Spirochaetota	50722	14609	17	28.80	0.03
ERR8314742	p__Verrucomicrobiota	29083	3008	0	10.34	0.00
ERR8314742	p__Desulfobacterota_I	8816	335	0	3.80	0.00
ERR8314742	p__Campylobacterota	44012	24339	0	55.30	0.00
ERR8314742	p__Myxococcota	4224	31	0	0.73	0.00
ERR8314742	p__Fibrobacterota	5167	146	0	2.83	0.00
ERR8314742	p__Actinomycetota	5567	46	0	0.83	0.00
ERR8314742	p__Patescibacteriota	1825	222	0	12.16	0.00
ERR8314742	p__Cyanobacteriota	8453	264	0	3.12	0.00
ERR8314742	p__Elusimicrobiota	2375	3	0	0.13	0.00
ERR8314742	p__Planctomycetota	440	0	0	0.00	0.00
ERR8314742	p__Fusobacteriota	493	65	0	13.18	0.00
ERR8314742	p__Chrysiogenota	608	0	0	0.00	0.00
ERR8314742	p__Acidobacteriota	209	2	0	0.96	0.00
ERR8314742	p__Desulfobacterota	119	0	0	0.00	0.00
ERR8314742	p__Synergistota	222	0	0	0.00	0.00
ERR8314742	p__Chlamydiota	52	5	0	9.62	0.00
ERR8314742	p__Cloacimonadota	33	0	0	0.00	0.00
ERR8314742	p__Vulcanimicrobiota	23	0	0	0.00	0.00
ERR8314742	p__Hydrogenedentota	24	0	0	0.00	0.00
ERR8314742	p__Bdellovibrionota_B	13	3	0	23.08	0.00
ERR8314742	p__Chloroflexota	149	8	0	5.37	0.00
ERR8314742	p__Bacteroidota_A	69	11	0	15.94	0.00
ERR8314742	p__Calditrichota	3	0	0	0.00	0.00
ERR8314742	p__Edwardsbacteria	3	0	0	0.00	0.00
ERR8314742	p__Desulfobacterota_E	6	0	0	0.00	0.00
ERR8314742	p__Krumholzibacteriota	5	0	0	0.00	0.00
ERR8314742	p__Armatimonadota	11	0	0	0.00	0.00
ERR8314742	p__Desulfobacterota_G	3	0	0	0.00	0.00
ERR8314742	p__Caldisericota	4	0	0	0.00	0.00
ERR8314742	p__Aquificota	3	0	0	0.00	0.00
ERR8314742	p__Gemmatimonadota	26	4	0	15.38	0.00
ERR8314742	p__CG2-30-70-394	1	0	0	0.00	0.00
ERR8314742	p__Moduliflexota	1	0	0	0.00	0.00
ERR8314742	p__Nitrospirota	12	0	0	0.00	0.00
ERR8314742	p__Thermotogota	18	0	0	0.00	0.00
ERR8314742	p__WOR-3	1	0	0	0.00	0.00
ERR8314742	p__Desulfobacterota_B	17	17	0	100.00	0.00
ERR8314742	p__Omnitrophota	6	0	0	0.00	0.00
ERR8314742	p__Bdellovibrionota	7	0	0	0.00	0.00
ERR8314742	p__Bipolaricaulota	3	0	0	0.00	0.00
ERR8314742	p__Zhuqueibacterota	4	0	0	0.00	0.00
ERR8314742	p__UBP6	1	0	0	0.00	0.00
ERR8314742	p__SAR324	3	0	0	0.00	0.00
ERR8314742	p__Latescibacterota	1	0	0	0.00	0.00
ERR8314742	p__Marinisomatota	3	0	0	0.00	0.00
ERR8314742	p__Fermentibacterota	1	0	0	0.00	0.00
ERR8314742	p__PUNC01	2	0	0	0.00	0.00
ERR8314742	p__Coprothermobacterota	2	0	0	0.00	0.00
ERR8314742	p__Deinococcota	3	0	0	0.00	0.00
ERR8314742	p__CG2-30-53-67	1	0	0	0.00	0.00
ERR8314742	p__Myxococcota_A	5	0	0	0.00	0.00
ERR8314742	p__Orphanbacterota	1	0	0	0.00	0.00
ERR8314742	p__Babelota	8	7	0	87.50	0.00
ERR8314742	p__Desulfobacterota_C	1	0	0	0.00	0.00
ERR8314742	p__Sumerlaeota	11	0	0	0.00	0.00
ERR8314742	p__Lindowbacteria	1	0	0	0.00	0.00
ERR8314742	p__UBA3054	3	3	0	100.00	0.00
ERR8314742	p__Margulisbacteria	1	0	0	0.00	0.00
ERR8314742	p__Thermoplasmatota	563	22	0	3.91	0.00
ERR8314742	p__Methanobacteriota	403	115	0	28.54	0.00
ERR8314742	p__Halobacteriota	52	11	0	21.15	0.00
ERR8314742	p__Thermoproteota	2	6	0	300.00	0.00
ERR8314742	p__Nanobdellota	1	0	0	0.00	0.00
ERR8314743	p__Bacteroidota	3101258	2009051	46117	64.78	1.49
ERR8314743	p__Bacillota	770050	330072	122982	42.86	15.97
ERR8314743	p__Verrucomicrobiota	38107	16646	10671	43.68	28.00
ERR8314743	p__Spirochaetota	95232	46916	17	49.26	0.02
ERR8314743	p__Pseudomonadota	56111	25194	2	44.90	0.00
ERR8314743	p__Campylobacterota	69483	37834	0	54.45	0.00
ERR8314743	p__Fibrobacterota	4655	351	0	7.54	0.00
ERR8314743	p__Cyanobacteriota	22641	1837	0	8.11	0.00
ERR8314743	p__Elusimicrobiota	5708	980	0	17.17	0.00
ERR8314743	p__Desulfobacterota_I	3298	53	0	1.61	0.00
ERR8314743	p__Patescibacteriota	2244	1096	15	48.84	0.67
ERR8314743	p__Myxococcota	958	29	14	3.03	1.46
ERR8314743	p__Actinomycetota	2070	159	74	7.68	3.57
ERR8314743	p__Chrysiogenota	235	0	0	0.00	0.00
ERR8314743	p__Synergistota	147	2	0	1.36	0.00
ERR8314743	p__Fusobacteriota	161	8	0	4.97	0.00
ERR8314743	p__Desulfobacterota	158	0	0	0.00	0.00
ERR8314743	p__Acidobacteriota	115	25	10	21.74	8.70
ERR8314743	p__Cloacimonadota	32	0	0	0.00	0.00
ERR8314743	p__Planctomycetota	107	22	0	20.56	0.00
ERR8314743	p__Chloroflexota	153	4	0	2.61	0.00
ERR8314743	p__Bdellovibrionota_B	8	0	10	0.00	125.00
ERR8314743	p__Thermotogota	14	0	0	0.00	0.00
ERR8314743	p__Chlamydiota	22	0	0	0.00	0.00
ERR8314743	p__Nitrospirota	23	0	0	0.00	0.00
ERR8314743	p__Vulcanimicrobiota	16	0	0	0.00	0.00
ERR8314743	p__Deinococcota	6	0	0	0.00	0.00
ERR8314743	p__Hydrogenedentota	13	0	0	0.00	0.00
ERR8314743	p__Desulfobacterota_G	5	0	0	0.00	0.00
ERR8314743	p__Sumerlaeota	3	0	0	0.00	0.00
ERR8314743	p__Caldisericota	11	0	0	0.00	0.00
ERR8314743	p__UBA3054	9	7	0	77.78	0.00
ERR8314743	p__Bacteroidota_A	102	52	0	50.98	0.00
ERR8314743	p__Gemmatimonadota	37	25	0	67.57	0.00
ERR8314743	p__Desulfobacterota_B	55	0	0	0.00	0.00
ERR8314743	p__Zhuqueibacterota	10	6	0	60.00	0.00
ERR8314743	p__WOR-3	2	0	0	0.00	0.00
ERR8314743	p__AUK180	2	0	0	0.00	0.00
ERR8314743	p__CG03	1	0	0	0.00	0.00
ERR8314743	p__Bdellovibrionota	9	0	0	0.00	0.00
ERR8314743	p__UBA10199	1	0	0	0.00	0.00
ERR8314743	p__SAR324	3	0	0	0.00	0.00
ERR8314743	p__Muiribacteriota	3	0	0	0.00	0.00
ERR8314743	p__Armatimonadota	9	0	0	0.00	0.00
ERR8314743	p__Calditrichota	6	0	0	0.00	0.00
ERR8314743	p__Marinisomatota	4	0	0	0.00	0.00
ERR8314743	p__SZUA-79	1	0	0	0.00	0.00
ERR8314743	p__Omnitrophota	5	0	0	0.00	0.00
ERR8314743	p__PUNC01	1	0	0	0.00	0.00
ERR8314743	p__Eisenbacteria	1	0	0	0.00	0.00
ERR8314743	p__Nitrospinota	2	0	0	0.00	0.00
ERR8314743	p__Schekmanbacteria	1	0	0	0.00	0.00
ERR8314743	p__Myxococcota_A	3	0	0	0.00	0.00
ERR8314743	p__UBP6	3	0	0	0.00	0.00
ERR8314743	p__Desulfobacterota_E	3	0	0	0.00	0.00
ERR8314743	p__BMS3Abin14	2	0	0	0.00	0.00
ERR8314743	p__Sysuimicrobiota	1	0	0	0.00	0.00
ERR8314743	p__Thermoplasmatota	2539	53	0	2.09	0.00
ERR8314743	p__Halobacteriota	75	12	0	16.00	0.00
ERR8314743	p__Methanobacteriota	238	50	0	21.01	0.00
ERR8314743	p__Altiarchaeota	2	0	0	0.00	0.00
ERR8314743	p__Aenigmatarchaeota	1	0	0	0.00	0.00
ERR8314743	p__Micrarchaeota	2	0	0	0.00	0.00
ERR8314743	p__Nanobdellota	1	0	0	0.00	0.00
ERR8314745	p__Pseudomonadota	40822	587	0	1.44	0.00
ERR8314745	p__Bacteroidota	3532654	2142426	138175	60.65	3.91
ERR8314745	p__Bacillota	708128	126925	29040	17.92	4.10
ERR8314745	p__Spirochaetota	34403	1323	0	3.85	0.00
ERR8314745	p__Campylobacterota	32667	17671	0	54.09	0.00
ERR8314745	p__Desulfobacterota_I	6108	0	0	0.00	0.00
ERR8314745	p__Myxococcota	2325	22	0	0.95	0.00
ERR8314745	p__Verrucomicrobiota	14041	93	0	0.66	0.00
ERR8314745	p__Fibrobacterota	3768	31	0	0.82	0.00
ERR8314745	p__Elusimicrobiota	2347	0	0	0.00	0.00
ERR8314745	p__Patescibacteriota	1684	17	0	1.01	0.00
ERR8314745	p__Cyanobacteriota	6809	0	0	0.00	0.00
ERR8314745	p__Actinomycetota	6436	281	0	4.37	0.00
ERR8314745	p__Chrysiogenota	175	0	0	0.00	0.00
ERR8314745	p__Fusobacteriota	236	0	0	0.00	0.00
ERR8314745	p__Desulfobacterota	131	0	0	0.00	0.00
ERR8314745	p__Planctomycetota	121	0	0	0.00	0.00
ERR8314745	p__Bdellovibrionota_B	25	0	0	0.00	0.00
ERR8314745	p__Cloacimonadota	43	0	0	0.00	0.00
ERR8314745	p__Chlamydiota	37	0	0	0.00	0.00
ERR8314745	p__Synergistota	99	0	0	0.00	0.00
ERR8314745	p__Acidobacteriota	96	0	0	0.00	0.00
ERR8314745	p__Vulcanimicrobiota	20	0	0	0.00	0.00
ERR8314745	p__Chloroflexota	105	0	0	0.00	0.00
ERR8314745	p__Gemmatimonadota	30	0	0	0.00	0.00
ERR8314745	p__Nitrospirota	14	0	0	0.00	0.00
ERR8314745	p__JACPFL01	4	0	0	0.00	0.00
ERR8314745	p__Deinococcota	8	0	0	0.00	0.00
ERR8314745	p__Bacteroidota_A	59	12	0	20.34	0.00
ERR8314745	p__Armatimonadota	14	0	0	0.00	0.00
ERR8314745	p__Caldisericota	6	0	0	0.00	0.00
ERR8314745	p__Hydrogenedentota	18	0	0	0.00	0.00
ERR8314745	p__Bdellovibrionota	7	0	0	0.00	0.00
ERR8314745	p__Desulfobacterota_B	13	0	0	0.00	0.00
ERR8314745	p__Nitrospirota_A	1	0	0	0.00	0.00
ERR8314745	p__AUK180	1	0	0	0.00	0.00
ERR8314745	p__RBG-13-61-14	1	0	0	0.00	0.00
ERR8314745	p__Zixibacteria	2	0	0	0.00	0.00
ERR8314745	p__Muiribacteriota	6	0	0	0.00	0.00
ERR8314745	p__Poribacteria	3	0	0	0.00	0.00
ERR8314745	p__UBP6	2	0	0	0.00	0.00
ERR8314745	p__Omnitrophota	4	0	0	0.00	0.00
ERR8314745	p__SAR324	2	0	0	0.00	0.00
ERR8314745	p__Calditrichota	2	0	0	0.00	0.00
ERR8314745	p__CLD3	2	0	0	0.00	0.00
ERR8314745	p__UBA3054	4	0	0	0.00	0.00
ERR8314745	p__Marinisomatota	3	0	0	0.00	0.00
ERR8314745	p__Desulfobacterota_E	1	0	0	0.00	0.00
ERR8314745	p__Babelota	2	0	0	0.00	0.00
ERR8314745	p__Thermotogota	3	0	0	0.00	0.00
ERR8314745	p__Eisenbacteria	4	0	0	0.00	0.00
ERR8314745	p__Desulfobacterota_G	1	0	0	0.00	0.00
ERR8314745	p__JADJOY01	1	0	0	0.00	0.00
ERR8314745	p__UBP15	2	0	0	0.00	0.00
ERR8314745	p__Bipolaricaulota	1	0	0	0.00	0.00
ERR8314745	p__UBA1439	1	0	0	0.00	0.00
ERR8314745	p__Thermosulfidibacterota	2	0	0	0.00	0.00
ERR8314745	p__Myxococcota_A	1	0	0	0.00	0.00
ERR8314745	p__Methylomirabilota	1	0	0	0.00	0.00
ERR8314745	p__Thermoplasmatota	652	10	0	1.53	0.00
ERR8314745	p__Methanobacteriota	451	51	0	11.31	0.00
ERR8314745	p__Halobacteriota	48	0	0	0.00	0.00
ERR8314745	p__Altiarchaeota	2	0	0	0.00	0.00
ERR8314745	p__Micrarchaeota	4	0	0	0.00	0.00
ERR8314745	p__Thermoproteota	2	0	0	0.00	0.00
ERR8314749	p__Pseudomonadota	45350	28195	300	62.17	0.66
ERR8314749	p__Bacteroidota	3794322	2480273	234915	65.37	6.19
ERR8314749	p__Bacillota	1496887	652085	255624	43.56	17.08
ERR8314749	p__Verrucomicrobiota	53088	21380	4	40.27	0.01
ERR8314749	p__Spirochaetota	57291	15319	210	26.74	0.37
ERR8314749	p__Desulfobacterota_I	9936	2573	0	25.90	0.00
ERR8314749	p__Myxococcota	3907	203	98	5.20	2.51
ERR8314749	p__Fibrobacterota	6390	400	0	6.26	0.00
ERR8314749	p__Campylobacterota	15803	8652	0	54.75	0.00
ERR8314749	p__Actinomycetota	18292	2775	0	15.17	0.00
ERR8314749	p__Planctomycetota	1228	7	0	0.57	0.00
ERR8314749	p__Patescibacteriota	7193	5474	0	76.10	0.00
ERR8314749	p__Cyanobacteriota	9644	256	0	2.65	0.00
ERR8314749	p__Elusimicrobiota	2159	13	0	0.60	0.00
ERR8314749	p__Vulcanimicrobiota	173	9	0	5.20	0.00
ERR8314749	p__Chlamydiota	175	3	0	1.71	0.00
ERR8314749	p__Chrysiogenota	94	0	0	0.00	0.00
ERR8314749	p__Bdellovibrionota_B	42	0	0	0.00	0.00
ERR8314749	p__Fusobacteriota	220	79	0	35.91	0.00
ERR8314749	p__Cloacimonadota	37	14	0	37.84	0.00
ERR8314749	p__Synergistota	66	0	0	0.00	0.00
ERR8314749	p__Thermotogota	47	0	0	0.00	0.00
ERR8314749	p__Desulfobacterota	42	1	0	2.38	0.00
ERR8314749	p__Acidobacteriota	78	10	0	12.82	0.00
ERR8314749	p__Chloroflexota	76	6	0	7.89	0.00
ERR8314749	p__Muiribacteriota	5	1	0	20.00	0.00
ERR8314749	p__Bacteroidota_A	51	19	0	37.25	0.00
ERR8314749	p__Bdellovibrionota	13	0	0	0.00	0.00
ERR8314749	p__Caldisericota	6	0	0	0.00	0.00
ERR8314749	p__4484-113	3	0	0	0.00	0.00
ERR8314749	p__UBA10199	3	0	0	0.00	0.00
ERR8314749	p__Gemmatimonadota	23	9	0	39.13	0.00
ERR8314749	p__Armatimonadota	21	10	0	47.62	0.00
ERR8314749	p__Methylomirabilota	3	2	2	66.67	66.67
ERR8314749	p__Edwardsbacteria	1	0	0	0.00	0.00
ERR8314749	p__SAR324	8	0	0	0.00	0.00
ERR8314749	p__Deinococcota	7	0	0	0.00	0.00
ERR8314749	p__RBG-13-61-14	3	0	0	0.00	0.00
ERR8314749	p__JAWLBW01	1	0	0	0.00	0.00
ERR8314749	p__Poribacteria	7	3	0	42.86	0.00
ERR8314749	p__Nitrospirota	10	0	0	0.00	0.00
ERR8314749	p__Myxococcota_A	4	0	0	0.00	0.00
ERR8314749	p__Omnitrophota	7	4	0	57.14	0.00
ERR8314749	p__Marinisomatota	2	0	0	0.00	0.00
ERR8314749	p__Auribacterota	1	0	0	0.00	0.00
ERR8314749	p__Latescibacterota	2	0	0	0.00	0.00
ERR8314749	p__Aquificota	1	0	0	0.00	0.00
ERR8314749	p__Dictyoglomota	1	0	0	0.00	0.00
ERR8314749	p__Calditrichota	1	0	0	0.00	0.00
ERR8314749	p__PUNC01	1	0	0	0.00	0.00
ERR8314749	p__Zhuqueibacterota	3	0	0	0.00	0.00
ERR8314749	p__Desulfobacterota_B	1	0	0	0.00	0.00
ERR8314749	p__JAFGOL01	1	0	0	0.00	0.00
ERR8314749	p__JAJVIF01	1	0	0	0.00	0.00
ERR8314749	p__Atribacterota	2	2	0	100.00	0.00
ERR8314749	p__Babelota	3	0	0	0.00	0.00
ERR8314749	p__Hydrogenedentota	9	0	0	0.00	0.00
ERR8314749	p__JAGRBM01	1	0	0	0.00	0.00
ERR8314749	p__Bipolaricaulota	3	0	0	0.00	0.00
ERR8314749	p__Goldbacteria	1	0	0	0.00	0.00
ERR8314749	p__Sumerlaeota	4	0	0	0.00	0.00
ERR8314749	p__Sysuimicrobiota	1	0	0	0.00	0.00
ERR8314749	p__Nitrospinota	1	0	0	0.00	0.00
ERR8314749	p__Desulfobacterota_G	1	0	0	0.00	0.00
ERR8314749	p__UBA4055	1	0	0	0.00	0.00
ERR8314749	p__Eisenbacteria	8	0	0	0.00	0.00
ERR8314749	p__Zixibacteria	1	0	0	0.00	0.00
ERR8314749	p__Desulfobacterota_D	1	0	0	0.00	0.00
ERR8314749	p__Methanobacteriota	5470	700	0	12.80	0.00
ERR8314749	p__Thermoplasmatota	270	0	0	0.00	0.00
ERR8314749	p__Halobacteriota	20	18	0	90.00	0.00
ERR8314749	p__Thermoproteota	12	0	0	0.00	0.00
ERR8314749	p__Asgardarchaeota	4	0	0	0.00	0.00
ERR8314749	p__Aenigmatarchaeota	1	0	0	0.00	0.00
ERR8314758	p__Pseudomonadota	47040	30815	0	65.51	0.00
ERR8314758	p__Bacteroidota	4578777	3078362	176537	67.23	3.86
ERR8314758	p__Bacillota	1024812	381570	15506	37.23	1.51
ERR8314758	p__Verrucomicrobiota	41788	12416	0	29.71	0.00
ERR8314758	p__Spirochaetota	79872	29996	0	37.56	0.00
ERR8314758	p__Campylobacterota	23021	10901	0	47.35	0.00
ERR8314758	p__Actinomycetota	19122	2494	0	13.04	0.00
ERR8314758	p__Fibrobacterota	4261	197	0	4.62	0.00
ERR8314758	p__Desulfobacterota_I	3493	60	0	1.72	0.00
ERR8314758	p__Myxococcota	1434	5	0	0.35	0.00
ERR8314758	p__Patescibacteriota	4394	2358	0	53.66	0.00
ERR8314758	p__Cyanobacteriota	9546	393	0	4.12	0.00
ERR8314758	p__Elusimicrobiota	1813	9	0	0.50	0.00
ERR8314758	p__Chrysiogenota	437	1	0	0.23	0.00
ERR8314758	p__Planctomycetota	237	2	0	0.84	0.00
ERR8314758	p__Chlamydiota	203	0	0	0.00	0.00
ERR8314758	p__Fusobacteriota	283	70	0	24.73	0.00
ERR8314758	p__Vulcanimicrobiota	77	0	0	0.00	0.00
ERR8314758	p__Cloacimonadota	44	14	0	31.82	0.00
ERR8314758	p__Bdellovibrionota_B	25	0	0	0.00	0.00
ERR8314758	p__Desulfobacterota	50	1	0	2.00	0.00
ERR8314758	p__Synergistota	22	0	0	0.00	0.00
ERR8314758	p__Chloroflexota	102	8	0	7.84	0.00
ERR8314758	p__Sumerlaeota	8	0	0	0.00	0.00
ERR8314758	p__Bacteroidota_A	54	10	0	18.52	0.00
ERR8314758	p__Hydrogenedentota	11	0	0	0.00	0.00
ERR8314758	p__Armatimonadota	7	0	0	0.00	0.00
ERR8314758	p__UBA10199	2	0	0	0.00	0.00
ERR8314758	p__Gemmatimonadota	18	0	0	0.00	0.00
ERR8314758	p__Acidobacteriota	74	20	12	27.03	16.22
ERR8314758	p__Nitrospirota	8	0	0	0.00	0.00
ERR8314758	p__Omnitrophota	4	0	0	0.00	0.00
ERR8314758	p__Deinococcota	12	0	0	0.00	0.00
ERR8314758	p__Methylomirabilota	5	0	0	0.00	0.00
ERR8314758	p__Marinisomatota	2	0	0	0.00	0.00
ERR8314758	p__Muiribacteriota	5	3	0	60.00	0.00
ERR8314758	p__Myxococcota_A	4	0	0	0.00	0.00
ERR8314758	p__WOR-3	1	0	0	0.00	0.00
ERR8314758	p__Poribacteria	8	8	0	100.00	0.00
ERR8314758	p__SAR324	7	0	0	0.00	0.00
ERR8314758	p__Bdellovibrionota	3	0	0	0.00	0.00
ERR8314758	p__Margulisbacteria	2	0	0	0.00	0.00
ERR8314758	p__Joyebacterota	1	0	0	0.00	0.00
ERR8314758	p__Latescibacterota	2	0	0	0.00	0.00
ERR8314758	p__Aquificota	1	0	0	0.00	0.00
ERR8314758	p__Desulfobacterota_B	4	0	0	0.00	0.00
ERR8314758	p__Bipolaricaulota	2	0	0	0.00	0.00
ERR8314758	p__Caldisericota	3	0	0	0.00	0.00
ERR8314758	p__Babelota	5	4	0	80.00	0.00
ERR8314758	p__Fermentibacterota	1	0	0	0.00	0.00
ERR8314758	p__Zhuqueibacterota	4	0	0	0.00	0.00
ERR8314758	p__Thermotogota	22	0	0	0.00	0.00
ERR8314758	p__Nitrospinota	2	0	0	0.00	0.00
ERR8314758	p__UBP6	1	0	0	0.00	0.00
ERR8314758	p__Sysuimicrobiota	2	0	0	0.00	0.00
ERR8314758	p__Desulfobacterota_G	1	0	0	0.00	0.00
ERR8314758	p__UBA3054	1	0	0	0.00	0.00
ERR8314758	p__Eisenbacteria	14	0	0	0.00	0.00
ERR8314758	p__4484-113	1	0	0	0.00	0.00
ERR8314758	p__JANLFM01	1	0	0	0.00	0.00
ERR8314758	p__Methanobacteriota	1665	279	0	16.76	0.00
ERR8314758	p__Thermoplasmatota	613	0	0	0.00	0.00
ERR8314758	p__Halobacteriota	19	0	0	0.00	0.00
ERR8314758	p__Thermoproteota	7	0	0	0.00	0.00
ERR8314758	p__Micrarchaeota	1	0	0	0.00	0.00
ERR8314758	p__Aenigmatarchaeota	2	0	0	0.00	0.00
ERR8314758	p__Nanobdellota	2	0	0	0.00	0.00
ERR8314768	p__Pseudomonadota	234866	197820	173630	84.23	73.93
ERR8314768	p__Bacteroidota	4247807	2716477	108264	63.95	2.55
ERR8314768	p__Verrucomicrobiota	53333	16077	0	30.14	0.00
ERR8314768	p__Bacillota	1224317	437516	216	35.74	0.02
ERR8314768	p__Spirochaetota	57115	18913	0	33.11	0.00
ERR8314768	p__Desulfobacterota_I	9033	672	0	7.44	0.00
ERR8314768	p__Myxococcota	3706	77	0	2.08	0.00
ERR8314768	p__Campylobacterota	40044	18556	0	46.34	0.00
ERR8314768	p__Actinomycetota	9271	689	0	7.43	0.00
ERR8314768	p__Fibrobacterota	5044	216	0	4.28	0.00
ERR8314768	p__Elusimicrobiota	3643	23	0	0.63	0.00
ERR8314768	p__Patescibacteriota	3682	2336	0	63.44	0.00
ERR8314768	p__Cyanobacteriota	6381	99	0	1.55	0.00
ERR8314768	p__Planctomycetota	422	44	0	10.43	0.00
ERR8314768	p__Fusobacteriota	419	52	0	12.41	0.00
ERR8314768	p__Chrysiogenota	193	3	0	1.55	0.00
ERR8314768	p__Vulcanimicrobiota	63	0	0	0.00	0.00
ERR8314768	p__Chlamydiota	49	0	0	0.00	0.00
ERR8314768	p__Bdellovibrionota_B	21	0	0	0.00	0.00
ERR8314768	p__Synergistota	95	0	0	0.00	0.00
ERR8314768	p__Cloacimonadota	41	5	0	12.20	0.00
ERR8314768	p__Desulfobacterota	88	11	0	12.50	0.00
ERR8314768	p__Chloroflexota	120	6	0	5.00	0.00
ERR8314768	p__Acidobacteriota	105	1	0	0.95	0.00
ERR8314768	p__Bacteroidota_A	61	14	0	22.95	0.00
ERR8314768	p__Myxococcota_A	7	0	0	0.00	0.00
ERR8314768	p__Desulfobacterota_B	33	0	0	0.00	0.00
ERR8314768	p__Hydrogenedentota	25	0	0	0.00	0.00
ERR8314768	p__Eisenbacteria	16	0	0	0.00	0.00
ERR8314768	p__UBA3054	6	0	0	0.00	0.00
ERR8314768	p__Aquificota	2	0	0	0.00	0.00
ERR8314768	p__Gemmatimonadota	36	25	0	69.44	0.00
ERR8314768	p__Omnitrophota	9	0	0	0.00	0.00
ERR8314768	p__Armatimonadota	17	8	0	47.06	0.00
ERR8314768	p__Deinococcota	7	0	0	0.00	0.00
ERR8314768	p__Bdellovibrionota	9	0	0	0.00	0.00
ERR8314768	p__Nitrospirota	16	0	0	0.00	0.00
ERR8314768	p__Muiribacteriota	19	13	0	68.42	0.00
ERR8314768	p__Bipolaricaulota	5	0	0	0.00	0.00
ERR8314768	p__Zixibacteria	4	0	0	0.00	0.00
ERR8314768	p__Poribacteria	3	0	0	0.00	0.00
ERR8314768	p__Methylomirabilota	7	0	0	0.00	0.00
ERR8314768	p__UBP6	1	0	0	0.00	0.00
ERR8314768	p__Krumholzibacteriota	2	0	0	0.00	0.00
ERR8314768	p__SAR324	3	0	0	0.00	0.00
ERR8314768	p__Zhuqueibacterota	6	0	0	0.00	0.00
ERR8314768	p__Calditrichota	5	0	0	0.00	0.00
ERR8314768	p__Latescibacterota	16	0	0	0.00	0.00
