sample	phylum	read_count	contig_count	bin_count	contig_percent	bin_percent
ERR1135319	p__Bacteroidota_A	26	0	0	0.00	0.00
ERR1135319	p__Caldisericota	1	0	0	0.00	0.00
ERR1135319	p__Armatimonadota	9	2	0	22.22	0.00
ERR1135319	p__Zhuqueibacterota	3	0	0	0.00	0.00
ERR1135319	p__SAR324	5	0	0	0.00	0.00
ERR1135319	p__Omnitrophota	6	49	0	816.67	0.00
ERR1135319	p__Zixibacteria	2	0	0	0.00	0.00
ERR1135319	p__Muiribacteriota	7	4	0	57.14	0.00
ERR1135319	p__Thermotogota	6	0	0	0.00	0.00
ERR1135319	p__Poribacteria	2	0	0	0.00	0.00
ERR1135319	p__UBA10199	1	0	0	0.00	0.00
ERR1135319	p__Myxococcota_A	4	0	0	0.00	0.00
ERR1135319	p__Bdellovibrionota	1	0	0	0.00	0.00
ERR1135319	p__BMS3Abin14	1	0	0	0.00	0.00
ERR1135319	p__Babelota	2	0	0	0.00	0.00
ERR1135319	p__PUNC01	2	0	0	0.00	0.00
ERR1135319	p__Sumerlaeota	2	0	0	0.00	0.00
ERR1135319	p__Eisenbacteria	1	0	0	0.00	0.00
ERR1135319	p__Desulfobacterota_B	2	0	0	0.00	0.00
ERR1135319	p__Bipolaricaulota	2	1	0	50.00	0.00
ERR1135319	p__Orphanbacterota	1	0	0	0.00	0.00
ERR1135319	p__Sysuimicrobiota	1	0	0	0.00	0.00
ERR1135319	p__Desulfobacterota_E	1	0	0	0.00	0.00
ERR1135319	p__JAAXVQ01	1	0	0	0.00	0.00
ERR1135319	p__FCPU426	3	0	0	0.00	0.00
ERR1135319	p__Electryoneota	1	0	0	0.00	0.00
ERR1135319	p__Margulisbacteria	1	0	0	0.00	0.00
ERR1135319	p__Thermosulfidibacterota	2	0	0	0.00	0.00
ERR1135319	p__WOR-3	1	0	0	0.00	0.00
ERR1135319	p__UBA4055	1	0	0	0.00	0.00
ERR1135319	p__Methanobacteriota	10433	5978	9	57.30	0.09
ERR1135319	p__Thermoplasmatota	18603	14219	8198	76.43	44.07
ERR1135319	p__Halobacteriota	373	303	0	81.23	0.00
ERR1135319	p__Methanobacteriota_B	2	0	0	0.00	0.00
ERR1135319	p__Thermoproteota	2	0	0	0.00	0.00
ERR1135340	p__Bacteroidota	1841082	1257159	317359	68.28	17.24
ERR1135340	p__Bacillota	1382448	599789	161876	43.39	11.71
ERR1135340	p__Myxococcota	23892	18527	16771	77.54	70.20
ERR1135340	p__Verrucomicrobiota	44526	12525	4	28.13	0.01
ERR1135340	p__Spirochaetota	136394	88019	29093	64.53	21.33
ERR1135340	p__Fibrobacterota	7927	528	0	6.66	0.00
ERR1135340	p__Pseudomonadota	22618	1678	8	7.42	0.04
ERR1135340	p__Desulfobacterota_I	3613	10	0	0.28	0.00
ERR1135340	p__Planctomycetota	2248	14	0	0.62	0.00
ERR1135340	p__Actinomycetota	10385	243	0	2.34	0.00
ERR1135340	p__Campylobacterota	8028	750	0	9.34	0.00
ERR1135340	p__Cyanobacteriota	16466	599	0	3.64	0.00
ERR1135340	p__Vulcanimicrobiota	1016	44	0	4.33	0.00
ERR1135340	p__Patescibacteriota	1588	294	0	18.51	0.00
ERR1135340	p__Elusimicrobiota	807	0	0	0.00	0.00
ERR1135340	p__Chrysiogenota	308	0	0	0.00	0.00
ERR1135340	p__Bdellovibrionota_B	124	6	0	4.84	0.00
ERR1135340	p__Chlamydiota	66	0	0	0.00	0.00
ERR1135340	p__Cloacimonadota	56	7	0	12.50	0.00
ERR1135340	p__Fusobacteriota	120	42	0	35.00	0.00
ERR1135340	p__Deinococcota	15	0	0	0.00	0.00
ERR1135340	p__Synergistota	26	0	0	0.00	0.00
ERR1135340	p__4484-113	4	0	0	0.00	0.00
ERR1135340	p__Chloroflexota	70	8	0	11.43	0.00
ERR1135340	p__Bacteroidota_A	43	0	0	0.00	0.00
ERR1135340	p__Bdellovibrionota	7	0	0	0.00	0.00
ERR1135340	p__Nitrospirota	10	0	0	0.00	0.00
ERR1135340	p__Acidobacteriota	63	6	0	9.52	0.00
ERR1135340	p__Marinisomatota	4	0	0	0.00	0.00
ERR1135340	p__Desulfobacterota	61	5	0	8.20	0.00
ERR1135340	p__UBA3054	7	6	0	85.71	0.00
ERR1135340	p__Sumerlaeota	4	0	0	0.00	0.00
ERR1135340	p__UBA10199	1	0	0	0.00	0.00
ERR1135340	p__Gemmatimonadota	19	6	6	31.58	31.58
ERR1135340	p__Armatimonadota	6	0	0	0.00	0.00
ERR1135340	p__Margulisbacteria	3	0	0	0.00	0.00
ERR1135340	p__Desulfobacterota_B	10	0	0	0.00	0.00
ERR1135340	p__SZUA-182	1	0	0	0.00	0.00
ERR1135340	p__Zhuqueibacterota	1	0	0	0.00	0.00
ERR1135340	p__AUK180	3	0	0	0.00	0.00
ERR1135340	p__Myxococcota_A	8	0	0	0.00	0.00
ERR1135340	p__SZUA-79	1	0	0	0.00	0.00
ERR1135340	p__Muiribacteriota	3	0	0	0.00	0.00
ERR1135340	p__Caldisericota	2	0	0	0.00	0.00
ERR1135340	p__WOR-3	1	0	0	0.00	0.00
ERR1135340	p__Hydrogenedentota	6	0	0	0.00	0.00
ERR1135340	p__Aquificota	3	0	0	0.00	0.00
ERR1135340	p__Methylomirabilota	1	0	0	0.00	0.00
ERR1135340	p__Zixibacteria	8	0	0	0.00	0.00
ERR1135340	p__Omnitrophota	6	0	0	0.00	0.00
ERR1135340	p__Poribacteria	1	0	0	0.00	0.00
ERR1135340	p__Calditrichota	4	0	0	0.00	0.00
ERR1135340	p__CLD3	1	0	0	0.00	0.00
ERR1135340	p__DAOPZR01	1	0	0	0.00	0.00
