accession,assembly_f_weighted,novel_count,total_count,sequence_saturation,biome1,biome2,biome3
SRR2753158,0.8050371330250482,979052,3918358,0.7501371748063858,Engineered,Engineered:Food production,Engineered:Food production:Fermented vegetables
SRR3183878,0.7290693251304422,143961,663719,0.7830994743257312,Host-associated,Host-associated:Human,Host-associated:Human:Skin
SRR3211795,0.7698399419998885,51927,141843,0.6339121422981747,Environmental,Environmental:Aquatic,Environmental:Aquatic:Thermal springs
SRR3719568,0.7091596268544695,2837495,9896094,0.7132712158958878,Environmental,Environmental:Aquatic,Environmental:Aquatic:Marine
SRR3961740,0.8178437349030595,415785,2578203,0.8387306973112668,Environmental,Environmental:Aquatic,Environmental:Aquatic:Thermal springs
SRR4069403,0.1001180898959332,198801,306039,0.35040632076304,Environmental,Environmental:Aquatic,Environmental:Aquatic:Sediment
SRR4305336,0.740725614950632,259937,702080,0.629761565633546,Host-associated,Host-associated:Human,Host-associated:Human:Digestive system
SRR490744,0.7805215638113602,261500,533354,0.5097064988731687,Engineered,Engineered:Bioreactor,Engineered:Bioreactor:Continuous culture
SRR5248299,0.9703228870835272,133787,5151316,0.974028578328334,Environmental,Environmental:Aquatic,Environmental:Aquatic:Thermal springs
SRR5438753,0.8658292544754539,714177,8439460,0.9153764577354476,Engineered,Engineered:Food production,Engineered:Food production:Fermented beverages
SRR5574507,0.7197246865730402,1002248,2809266,0.6432349232860113,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Digestive system
SRR5808811,0.0707320424698884,2173002,2459204,0.1163799343202108,Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary
SRR5808830,0.0753686124806973,1013089,1150889,0.1197335277337779,Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary
SRR5924454,0.901099231705361,574297,6417598,0.9105121573523304,Engineered,Engineered:Wastewater,Engineered:Wastewater:Activated Sludge
SRR6323523,0.8558496029861552,348039,3012265,0.8844593686146471,Host-associated,Host-associated:Birds,Host-associated:Birds:Digestive system
SRR6490004,0.7703471156514641,838167,4273207,0.803855277780833,Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria
SRR6490006,0.6731388802229874,716795,2442576,0.7065413727147077,Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria
SRR6714105,0.8281517220204602,760473,3595340,0.7884837039056112,Host-associated,Host-associated:Human,Host-associated:Human:Digestive system
SRR6765262,0.4549472001781199,365992,505592,0.2761119637968955,Host-associated,Host-associated:Birds,Host-associated:Birds:Digestive system
SRR7299214,0.6822112412334324,1400965,3387066,0.5863780038534827,Engineered,Engineered:Solid waste,Engineered:Solid waste:Landfill
SRR7610133,0.6064029417013603,846963,1620416,0.4773175530234211,Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system
SRR9109404,0.7575866365198596,1185448,4631672,0.7440561421447806,Host-associated,Host-associated:Fish,Host-associated:Fish:Digestive system
SRR9182858,0.3550316743491609,10209918,17273633,0.4089304780297231,Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria
SRR9182859,0.4861273399927668,4538695,19203374,0.7636511687998161,Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria
SRR975540,0.4097898009320943,113022,228527,0.5054326184652143,Engineered,Engineered:Lab Synthesis,Engineered:Lab Synthesis:Genetic cross
