query,p_genome,avg_abund,p_metag,metagenome name
bosTau9.fa.gz,0.10%,4.1,0.10%,SRR19241959
bosTau9.fa.gz,0.00%,23.3,0.30%,SRR12479754
bosTau9.fa.gz,0.00%,2.4,0.00%,SRR5574508
bosTau9.fa.gz,0.00%,1,0.00%,SRR1702227
bosTau9.fa.gz,0.00%,1,0.00%,SRR1631097
bosTau9.fa.gz,0.00%,2,0.00%,SRR13840100
bosTau9.fa.gz,0.00%,1.9,0.00%,SRR2018010
bosTau9.fa.gz,0.00%,6,0.00%,SRR6713630
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR7664943
bosTau9.fa.gz,0.10%,1.5,0.00%,ERR2597356
bosTau9.fa.gz,0.10%,5.4,0.10%,SRR13528212
bosTau9.fa.gz,0.00%,6.3,0.10%,SRR7610121
bosTau9.fa.gz,0.00%,2,0.00%,SRR15604633
bosTau9.fa.gz,0.00%,2.2,0.00%,SRR13256653
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2607472
bosTau9.fa.gz,0.00%,1,0.00%,ERR2784837
bosTau9.fa.gz,0.00%,3.7,0.10%,SRR16350244
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR1631284
bosTau9.fa.gz,0.00%,3.5,0.00%,SRR10914162
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR5382246
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR1631484
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR5007354
bosTau9.fa.gz,0.00%,1,0.00%,SRR1631494
bosTau9.fa.gz,0.00%,8.3,0.00%,SRR17188279
bosTau9.fa.gz,0.00%,5.3,0.00%,SRR9109409
bosTau9.fa.gz,0.00%,1,0.00%,ERR1525434
bosTau9.fa.gz,0.00%,9.2,0.00%,ERR3357626
bosTau9.fa.gz,0.00%,1.3,0.00%,SRR11267051
bosTau9.fa.gz,0.00%,15.2,0.00%,SRR12181054
bosTau9.fa.gz,0.20%,14,0.50%,SRR18439537
bosTau9.fa.gz,0.00%,2.4,0.10%,ERR576943
bosTau9.fa.gz,0.10%,1.7,0.00%,ERR2241656
bosTau9.fa.gz,0.00%,8.5,0.00%,SRR12456169
bosTau9.fa.gz,0.00%,1,0.00%,SRR3961742
bosTau9.fa.gz,0.00%,4.3,0.00%,ERR2863824
bosTau9.fa.gz,0.10%,2,0.40%,SRR1950773
bosTau9.fa.gz,0.00%,94.8,0.40%,SRR5720293
bosTau9.fa.gz,0.00%,26.3,0.00%,SRR12181012
bosTau9.fa.gz,0.00%,14.8,0.00%,SRR1522964
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR10810038
bosTau9.fa.gz,0.20%,2,0.20%,ERR4398786
bosTau9.fa.gz,0.00%,2,0.00%,ERR2241879
bosTau9.fa.gz,0.00%,8.5,0.00%,SRR1202081
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR13256642
bosTau9.fa.gz,0.00%,13,0.00%,SRR12180948
bosTau9.fa.gz,0.00%,3,0.00%,ERR2683624
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR3357590
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR3155588
bosTau9.fa.gz,0.00%,4.2,0.00%,ERR2241904
bosTau9.fa.gz,0.00%,9.8,0.00%,SRR9219371
bosTau9.fa.gz,0.00%,2.5,0.00%,ERR2241770
bosTau9.fa.gz,0.00%,1,0.00%,SRR1631039
bosTau9.fa.gz,1.10%,2.3,0.40%,ERR4398796
bosTau9.fa.gz,0.10%,1.7,0.20%,ERR3593583
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR575691
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR2607431
bosTau9.fa.gz,0.00%,1,0.00%,DRR046087
bosTau9.fa.gz,0.00%,1.6,0.00%,SRR13256646
bosTau9.fa.gz,0.00%,1,0.00%,DRR163689
bosTau9.fa.gz,0.20%,13.1,0.50%,SRR18439533
bosTau9.fa.gz,0.00%,1.7,0.10%,SRR18825439
bosTau9.fa.gz,0.00%,2,0.00%,SRR13256638
bosTau9.fa.gz,0.00%,1.5,0.10%,SRR3187208
bosTau9.fa.gz,0.00%,1,0.00%,SRR1461997
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR1632443
bosTau9.fa.gz,0.00%,4.2,0.00%,SRR1873864
bosTau9.fa.gz,0.00%,2,0.00%,SRR3187447
bosTau9.fa.gz,0.00%,1,0.00%,SRR1761710
bosTau9.fa.gz,0.00%,10.6,0.20%,ERR2592333
bosTau9.fa.gz,0.00%,2,0.10%,SRR12272150
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR1631666
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR2597446
bosTau9.fa.gz,0.00%,1.7,0.10%,SRR1631318
bosTau9.fa.gz,0.00%,4.3,0.00%,ERR2241789
bosTau9.fa.gz,0.00%,2.7,0.00%,ERR2808664
bosTau9.fa.gz,0.00%,2,0.00%,SRR11267059
bosTau9.fa.gz,0.00%,15.5,0.00%,SRR12097445
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR2696426
bosTau9.fa.gz,0.00%,3,0.00%,ERR3357551
bosTau9.fa.gz,0.00%,2,0.00%,SRR2107219
bosTau9.fa.gz,0.00%,46.8,0.10%,SRR5918694
bosTau9.fa.gz,0.00%,1.8,0.10%,SRR1631313
bosTau9.fa.gz,0.00%,15.5,0.00%,SRR3017091
bosTau9.fa.gz,0.00%,4.1,0.00%,ERR2241799
bosTau9.fa.gz,0.80%,2.1,0.40%,ERR4398813
bosTau9.fa.gz,0.00%,3.2,0.00%,ERR2241967
bosTau9.fa.gz,0.00%,1,0.00%,SRR1491089
bosTau9.fa.gz,0.00%,1,0.00%,SRR1023996
bosTau9.fa.gz,0.00%,1.3,0.10%,SRR5790623
bosTau9.fa.gz,0.00%,1,0.00%,ERR2538501
bosTau9.fa.gz,0.00%,1,0.00%,SRR3989388
bosTau9.fa.gz,0.00%,3,0.00%,SRR7287194
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR5083225
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR3414573
bosTau9.fa.gz,0.00%,2.4,0.00%,SRR5382233
bosTau9.fa.gz,0.00%,14.6,0.20%,SRR12480167
bosTau9.fa.gz,0.00%,16.5,0.00%,SRR9182871
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR12908328
bosTau9.fa.gz,0.00%,28.8,0.10%,SRR5788226
bosTau9.fa.gz,0.00%,2.1,0.00%,SRR7287245
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2592266
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR5382235
bosTau9.fa.gz,0.00%,4.1,0.00%,SRR17255031
bosTau9.fa.gz,0.00%,2.1,0.00%,SRR6059112
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR1702230
bosTau9.fa.gz,0.00%,3.6,0.00%,SRR15322609
bosTau9.fa.gz,0.00%,53.2,0.10%,ERR2241737
bosTau9.fa.gz,0.00%,3,0.00%,SRR4305066
bosTau9.fa.gz,0.00%,2,0.00%,SRR7287219
bosTau9.fa.gz,1.00%,2.4,0.50%,ERR4398766
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR7664993
bosTau9.fa.gz,0.00%,1.5,0.10%,SRR1631701
bosTau9.fa.gz,0.00%,2.2,0.00%,ERR2597372
bosTau9.fa.gz,0.00%,6.1,0.10%,ERR1868844
bosTau9.fa.gz,0.00%,2.1,0.00%,ERR2241837
bosTau9.fa.gz,0.00%,3.7,0.00%,ERR5094899
bosTau9.fa.gz,0.00%,1.8,0.50%,ERR969482
bosTau9.fa.gz,0.30%,1.9,0.10%,ERR4398798
bosTau9.fa.gz,0.00%,11.5,0.00%,SRR5808821
bosTau9.fa.gz,0.10%,3.5,1.50%,ERR969468
bosTau9.fa.gz,0.00%,3.5,0.00%,SRR1702231
bosTau9.fa.gz,0.00%,50.6,0.30%,SRR5915270
bosTau9.fa.gz,0.00%,2.5,0.00%,SRR13428088
bosTau9.fa.gz,0.00%,15.7,0.00%,ERR2241979
bosTau9.fa.gz,0.00%,1,0.00%,ERR1512987
bosTau9.fa.gz,0.00%,1,0.00%,ERR2764820
bosTau9.fa.gz,0.10%,1.7,0.00%,ERR2245443
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR11267053
bosTau9.fa.gz,0.00%,103.1,0.50%,SRR12480322
bosTau9.fa.gz,0.00%,2.3,0.00%,ERR2607445
bosTau9.fa.gz,0.00%,7.2,0.00%,SRR12456163
bosTau9.fa.gz,0.00%,2.4,0.00%,SRR7287241
bosTau9.fa.gz,0.00%,1,0.00%,SRR7664973
bosTau9.fa.gz,0.00%,11.9,0.00%,SRR12181005
bosTau9.fa.gz,0.00%,1.8,0.00%,ERR2808659
bosTau9.fa.gz,0.00%,11.4,0.00%,SRR12180969
bosTau9.fa.gz,0.00%,2,0.00%,SRR17257158
bosTau9.fa.gz,0.00%,2.5,0.10%,SRR1209978
bosTau9.fa.gz,0.00%,8,0.00%,SRR5997549
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2607451
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR5916864
bosTau9.fa.gz,0.00%,1,0.00%,SRR13840111
bosTau9.fa.gz,0.00%,2.4,0.00%,ERR2241880
bosTau9.fa.gz,0.10%,4.9,0.10%,SRR15604491
bosTau9.fa.gz,0.00%,2,0.00%,SRR3183385
bosTau9.fa.gz,0.00%,1,0.00%,SRR6038487
bosTau9.fa.gz,0.00%,2.4,0.00%,ERR9465694
bosTau9.fa.gz,0.00%,17.1,0.00%,SRR12180967
bosTau9.fa.gz,0.00%,2.8,0.00%,SRR10810010
bosTau9.fa.gz,0.00%,1,0.00%,SRR5924454
bosTau9.fa.gz,0.00%,1,0.00%,DRR163688
bosTau9.fa.gz,0.00%,2,0.00%,SRR3183802
bosTau9.fa.gz,0.00%,4.2,0.00%,SRR15431160
bosTau9.fa.gz,0.00%,2,0.00%,SRR13713018
bosTau9.fa.gz,0.00%,73.8,0.20%,SRR1917156
bosTau9.fa.gz,0.00%,2.6,0.00%,SRR9182861
bosTau9.fa.gz,0.00%,4.8,0.00%,ERR4398824
bosTau9.fa.gz,0.00%,9.3,0.00%,ERR2144887
bosTau9.fa.gz,0.00%,2.7,0.00%,ERR2808648
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR7664986
bosTau9.fa.gz,0.00%,1,0.00%,SRR1763381
bosTau9.fa.gz,0.00%,1.6,0.00%,SRR6514664
bosTau9.fa.gz,0.00%,27,0.00%,ERR3804376
bosTau9.fa.gz,0.00%,1.6,0.00%,SRR1632440
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2241878
bosTau9.fa.gz,0.00%,10.4,0.20%,SRR1873841
bosTau9.fa.gz,0.00%,3.3,0.10%,SRR7664981
bosTau9.fa.gz,0.00%,9,0.00%,DRR121401
bosTau9.fa.gz,0.00%,4,0.00%,ERR2144874
bosTau9.fa.gz,0.00%,2.6,0.10%,ERR5083231
bosTau9.fa.gz,0.00%,4.8,0.00%,SRR7287244
bosTau9.fa.gz,0.00%,2.3,0.00%,SRR3187449
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR575692
bosTau9.fa.gz,0.00%,14.3,0.00%,SRR12181024
bosTau9.fa.gz,0.00%,54.3,0.30%,SRR5788188
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2607486
bosTau9.fa.gz,0.00%,1.1,0.00%,ERR2592256
bosTau9.fa.gz,0.00%,1,0.00%,ERR5916852
bosTau9.fa.gz,0.10%,2,0.50%,SRR14679321
bosTau9.fa.gz,0.00%,1,0.00%,ERR2784785
bosTau9.fa.gz,0.00%,1.3,0.00%,ERR1513006
bosTau9.fa.gz,0.00%,4,0.00%,SRR6490006
bosTau9.fa.gz,0.00%,4.4,0.10%,SRR14920981
bosTau9.fa.gz,0.00%,1.9,0.00%,ERR2245474
bosTau9.fa.gz,0.00%,172,0.10%,ERR3494954
bosTau9.fa.gz,0.00%,7.3,0.40%,ERR3357578
bosTau9.fa.gz,0.00%,2,0.00%,SRR3183648
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR2241833
bosTau9.fa.gz,0.00%,4.3,0.00%,SRR6713628
bosTau9.fa.gz,0.00%,5.7,1.30%,ERR1868848
bosTau9.fa.gz,0.00%,1,0.00%,SRR5924194
bosTau9.fa.gz,0.00%,1,0.00%,SRR6323417
bosTau9.fa.gz,0.00%,2.4,0.00%,SRR13827517
bosTau9.fa.gz,0.00%,1,0.00%,SRR19759445
bosTau9.fa.gz,0.00%,2,0.00%,ERR5917005
bosTau9.fa.gz,0.00%,1,0.00%,SRR5790604
bosTau9.fa.gz,0.00%,3.7,0.00%,SRR7287221
bosTau9.fa.gz,0.00%,1,0.00%,SRR18079820
bosTau9.fa.gz,0.10%,2,0.40%,SRR1950765
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR2597377
bosTau9.fa.gz,0.00%,4.5,0.00%,ERR5094895
bosTau9.fa.gz,0.00%,1,0.00%,ERR3219795
bosTau9.fa.gz,0.30%,2.3,0.50%,SRR6145084
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR2592267
bosTau9.fa.gz,0.00%,194.1,0.90%,SRR5917137
bosTau9.fa.gz,0.00%,1,0.00%,SRR3988457
bosTau9.fa.gz,0.00%,21.3,0.30%,ERR2017147
bosTau9.fa.gz,0.00%,1.2,0.10%,SRR5382230
bosTau9.fa.gz,0.00%,3,0.00%,ERR2592341
bosTau9.fa.gz,0.00%,3.6,0.00%,SRR1873838
bosTau9.fa.gz,0.00%,1.5,0.10%,ERR5083180
bosTau9.fa.gz,0.00%,18.9,0.10%,ERR4869742
bosTau9.fa.gz,0.00%,21.9,0.00%,SRR12180979
bosTau9.fa.gz,0.00%,7.9,0.00%,SRR17188272
bosTau9.fa.gz,0.00%,11.3,0.00%,SRR12180975
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR7610131
bosTau9.fa.gz,0.00%,1,0.00%,ERR5083128
bosTau9.fa.gz,0.00%,1,0.00%,SRR11267052
bosTau9.fa.gz,0.00%,3.5,0.10%,SRR1202089
bosTau9.fa.gz,0.00%,3,0.00%,ERR2538511
bosTau9.fa.gz,0.00%,1,0.00%,SRR5240727
bosTau9.fa.gz,0.00%,1,0.00%,ERR5455145
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR2241674
bosTau9.fa.gz,0.00%,3.2,0.00%,ERR10695324
bosTau9.fa.gz,0.00%,89.2,0.40%,SRR8812408
bosTau9.fa.gz,0.10%,1.4,0.00%,ERR2241922
bosTau9.fa.gz,0.00%,1.5,0.00%,DRR163693
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR2607419
bosTau9.fa.gz,0.00%,6,0.00%,SRR6713625
bosTau9.fa.gz,0.00%,1,0.00%,ERR1467141
