accession,ref_f_unweighted,ref_f_weighted,n_matches
DRR014782,0.7442175934569831,0.9513025304819883,13557
DRR014785,0.7400733455573061,0.9492552667777673,14609
DRR019499,0.29776160995304934,0.29575018800608616,23740
DRR042462,0.9086854958588925,0.9691878102592388,3328
DRR042463,0.8274988743805128,0.9432717778812608,4517
DRR046069,0.801065043742861,0.8609761739532732,1978
DRR046087,0.8204605319056868,0.9098343715863128,1958
DRR092714,0.4447452264774403,0.6030598772942608,20313
DRR121397,0.6633972061640769,0.6964543259492132,19375
DRR121401,0.6291104859822522,0.6503158164421627,18383
DRR163685,0.2870606365948679,0.6290566605114905,10407
DRR163686,0.30740377402005153,0.6602587492050915,8500
DRR163687,0.42818484080907077,0.6450222384220534,25656
DRR163688,0.439041333796444,0.6361606495577787,1404
DRR163689,0.25585603556278314,0.2748095073658595,13459
DRR163690,0.25291793451051525,0.25445582877959927,12663
DRR163691,0.26191155492124907,0.3084024844720497,7617
DRR163692,0.28707941051890695,0.3089875907054768,18343
DRR163693,0.2921216562836136,0.34162123092358876,11296
ERR10695318,0.33020737022783453,0.8898186925630828,14807
ERR10695319,0.32796062668282255,0.8709190714337883,15357
ERR10695321,0.3949200397798064,0.9037245177760085,17526
ERR10695324,0.47982519157067355,0.8084156642127412,10859
ERR10736389,0.48506650843055227,0.7441679483287518,8745
ERR10736393,0.4718802068678241,0.7084437817539209,9285
ERR1190729,0.9070829471207765,0.9847921285523206,3856
ERR1190860,0.8194254445963375,0.9887018856163317,1772
ERR1201173,0.5440248581109404,0.6094405942707518,15452
ERR1201180,0.5311967079407047,0.5763243355976642,14614
ERR1414265,0.6082385505783006,0.6482526243706569,36414
ERR1414267,0.6401804550095058,0.7265849913962762,47433
ERR1414271,0.6429051909175341,0.77308414367959,44006
ERR1467141,0.6627567021627179,0.7329113924050633,13462
ERR1467142,0.7007782101164327,0.7795802627891257,8227
ERR1467143,0.7001084252817512,0.7705917043444073,11232
ERR1467144,0.702623371857775,0.777942609479762,9224
ERR1467145,0.7014018691579854,0.7902917583272226,10927
ERR1467146,0.6931860378756716,0.7674105850909896,8076
ERR1467147,0.6968269055747426,0.7792977564713316,11507
ERR1467148,0.6958808460464417,0.7751773328613198,10638
ERR1467149,0.707140302328248,0.7916450540794959,12021
ERR1467150,0.7019681109710041,0.7790203727785002,9153
ERR1467151,0.7085947134195502,0.7819300048355899,9025
ERR1467152,0.6683485081300353,0.7522095412571486,10617
ERR1467153,0.7334537077386751,0.793202624208132,7809
ERR1467154,0.7176036109967704,0.7790749664662924,6283
ERR1470822,0.689996963518462,0.7750334312459283,10915
ERR1470823,0.6804048076292709,0.7752493250316822,11101
ERR1470824,0.6871409743111264,0.7695917409666823,9829
ERR1470825,0.6803626682011216,0.7728750410928882,10286
ERR1470826,0.640719538303035,0.7179107684228115,10902
ERR1470827,0.6925909142398958,0.786031625140536,12125
ERR1470828,0.6938933206055349,0.7735065129510406,10529
ERR1470829,0.6867899776986515,0.7749007037837085,9105
ERR1470830,0.692787462017329,0.7868275825590211,12838
ERR1512984,0.6544008187563849,0.7491168687303834,10881
ERR1512985,0.6889250387006363,0.7689794455396407,9498
ERR1512986,0.6839119472451832,0.7526243902439025,10222
ERR1512987,0.7100389863543032,0.7899292278184444,10136
ERR1512988,0.6743408029133334,0.7266583845610127,11990
ERR1512993,0.726654694715133,0.7910751188696047,7508
ERR1512994,0.7064988701001397,0.7586418266599532,6759
ERR1512997,0.7038875103385462,0.7617539753562332,6266
ERR1512998,0.7275030156813732,0.7955009364281055,5923
ERR1513004,0.7071147702133801,0.7762674463507475,11114
ERR1513005,0.7015704645353625,0.7733423997859723,11457
ERR1513006,0.7105754652719259,0.7766596448991875,10637
ERR1513007,0.7223553497890585,0.8002037452497597,9661
ERR1514427,0.661443326388131,0.7208826896567837,10932
ERR1514428,0.6754618490267121,0.7387911435184237,11583
ERR1514429,0.7143974019721697,0.7898938905249381,11701
ERR1514430,0.7018825121382334,0.7886655299291034,11186
ERR1525434,0.7302454066554473,0.7793190949460774,4154
ERR1525436,0.7191262469899967,0.7783929803050043,7046
ERR1525437,0.7384978622931562,0.7967836257309941,4069
ERR1525439,0.6717173136928778,0.7178224478133719,9217
ERR1525440,0.702649379931873,0.7619465806872499,10518
ERR1525443,0.7329739203317915,0.8075973764172558,11666
ERR1525444,0.7452408291526593,0.8017002001147945,7656
ERR1525445,0.7052339413158992,0.7696596669080377,11635
ERR1525446,0.7496963597875945,0.8102817125576953,6978
ERR1543776,0.7289646133681215,0.7897922893571943,3395
ERR1543784,0.7521199848117952,0.8217873160606397,3405
ERR1543785,0.7351192607978146,0.8203275529865125,3053
ERR1543794,0.8013125413930609,0.8330046704722366,3568
ERR1543994,0.6034610814018873,0.902481897627965,7729
ERR1544002,0.6753224773024264,0.9030499030876962,13013
ERR1562574,0.7263507026263772,0.9053585710477207,9056
ERR1620360,0.8954108640766021,0.9780709749287502,4885
ERR1725402,0.8063235833635273,0.8810701775906012,4275
ERR1726683,0.3138713152561384,0.4476156350457626,67347
