accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR1514430,0.4469472204869376,0.5774706583576433,3909,Engineered:Wastewater:Water and sludge
ERR1525434,0.5144832985385894,0.5872296509019115,1933,Engineered:Wastewater:Water and sludge
ERR1525436,0.4981728361642739,0.5905018281168387,3052,Engineered:Wastewater:Water and sludge
ERR1525437,0.5323649337410233,0.6131459280694502,1896,Engineered:Wastewater:Water and sludge
ERR1525439,0.3910195130179545,0.4610673510930171,3184,Engineered:Wastewater:Water and sludge
ERR1525440,0.4214080624783221,0.5245573957738435,4070,Engineered:Wastewater:Water and sludge
ERR1525443,0.4891721414263371,0.613215426698127,4645,Engineered:Wastewater:Water and sludge
ERR1525444,0.546179565043917,0.6325265152774545,3519,Engineered:Wastewater:Water and sludge
ERR1525445,0.4587296295566936,0.5567280592514912,4515,Engineered:Wastewater:Water and sludge
ERR1525446,0.529907502569344,0.6270652153757719,3325,Engineered:Wastewater:Water and sludge
ERR1543776,0.5164729919549962,0.610873385802705,1332,Host-associated:Birds:Digestive system
ERR1543784,0.5570886738163116,0.6617945594803085,1372,Host-associated:Birds:Digestive system
ERR1543785,0.5288998938803924,0.6621835443037974,1219,Host-associated:Birds:Digestive system
ERR1543794,0.6175898931000077,0.6701618837380426,1659,Host-associated:Birds:Digestive system
ERR1543994,0.3580906186600356,0.8201454495302861,967,Host-associated:Human:Digestive system
ERR1544002,0.4807214903941478,0.8302594914171701,3582,Host-associated:Human:Digestive system
ERR1562574,0.5144219585948865,0.8092879633882473,2063,Host-associated:Mammals:Digestive system
ERR1620360,0.8084940541619532,0.9523465656137377,2565,Host-associated:Human:Digestive system
ERR1725402,0.6723216121734638,0.7818955512572534,1612,Host-associated:Birds:Digestive system
ERR1726683,0.0086524992012764,0.0794646759827955,1674,Environmental:Aquatic:Marine
ERR1726689,0.0041823493938299,0.0408109786317726,742,Environmental:Aquatic:Marine
ERR1726712,0.0028666857779033,0.0111373449241423,1525,Environmental:Aquatic:Marine
ERR1726799,0.0015509983332935,0.0192736642198044,668,Environmental:Aquatic:Marine
ERR1726902,0.0074188882465239,0.0150206291903042,1064,Environmental:Aquatic:Marine
ERR1726914,0.0406579279285081,0.1356387446791643,6732,Environmental:Aquatic:Marine
ERR1726918,0.0069588701694654,0.0154380721444354,1876,Environmental:Aquatic:Marine
ERR1731826,0.5882589612289022,0.8247586856901427,1253,Host-associated:Birds:Digestive system
ERR1731834,0.6131053232986522,0.7505662029195136,1618,Host-associated:Birds:Digestive system
ERR1736742,0.6904498932331388,0.7614891109850304,1310,Host-associated:Birds:Digestive system
