accession,gather_ref_f_weighted,fmg_ref_f_weighted,f_mapped_reads,biome3,total_mapped_reads,total_n_reads,n_matches
SRR15604576,0.9072340723657216,0.9508584014156094,0.9467204914073052,Host-associated:Mammals:Gastrointestinal tract,66172197,69896234,2413
SRR1702229,0.2358980715553937,0.2952065746904169,0.445197657224874,Engineered:Wastewater:Industrial wastewater,5091893,11437376,3161
SRR17255031,0.1216949951749026,0.1871483877775799,0.2688762823792313,Host-associated:Plants:Rhizosphere,10489102,39010886,6765
SRR17257160,0.8527559249829195,0.8706495628944709,0.9259652514322284,Host-associated:Mammals:Gastrointestinal tract,80004670,86401374,3696
SRR1873849,0.9655801966128668,0.9482395501271536,0.9840936012543696,Engineered:Food production:Dairy products,37904843,38517518,290
SRR1916815,0.1766686065056708,0.2010910615959972,0.2511652187444705,Engineered:Lab enrichment:Defined media,29814289,118703892,2543
SRR19759452,0.857931858003801,0.9026873158518224,0.9115405342744214,Host-associated:Mammals:Gastrointestinal tract,35337732,38767044,3414
SRR2107175,0.2924331991474666,0.3636469046355801,0.5130430742401636,Engineered:Wastewater:Activated Sludge,12212582,23804204,2740
SRR2107179,0.5408895221142074,0.5643635387094299,0.643826342366073,Engineered:Wastewater:Activated Sludge,13933888,21642308,2007
SRR2753158,0.4334058422419982,0.441704933653661,0.6242832251554866,Engineered:Food production:Fermented vegetables,11362127,18200276,1063
SRR3183878,0.4782574280066569,0.5024618414574101,0.4639566908444757,Host-associated:Human:Skin,5306114,11436658,673
SRR3211795,0.6030617366571857,0.6503254396897936,0.9326408892967004,Environmental:Aquatic:Thermal springs,248006,265918,41
SRR3719568,0.5910725030763047,0.6172906601233961,0.7359628806120525,Environmental:Aquatic:Marine,57397486,77989648,5097
SRR3961740,0.7797609323676432,0.8201232080320233,0.8394610753648472,Environmental:Aquatic:Thermal springs,18408233,21928632,1600
SRR4069403,0.0375337998778836,0.0880469073643287,0.0789880609896432,Environmental:Aquatic:Sediment,285545,3615040,571
SRR4305336,0.8116849397846361,0.7769501940935215,0.9265291395363118,Host-associated:Human:Digestive system,7906529,8533492,701
SRR490744,0.7764052180383143,0.5320336362607941,0.8713756555467098,Engineered:Bioreactor:Continuous culture,1676830,1924348,225
SRR5248299,0.8104162997120429,0.8276453168193345,0.9178925670845666,Environmental:Aquatic:Thermal springs,38367432,41799480,144
SRR5438753,0.8159593417877885,0.8608083293718483,0.883405716737162,Engineered:Food production:Fermented beverages,62072667,70265186,1147
SRR5574507,0.8132338645803634,0.8700994459183857,0.880231047989755,Host-associated:Mammals:Digestive system,20609434,23413664,3767
SRR5808811,0.0145812359554646,0.0416752948819457,0.0551648668962475,Environmental:Aquatic:Estuary,1121042,20321666,3394
SRR5808830,0.0215493177326766,0.0553273171028289,0.0649868930668116,Environmental:Aquatic:Estuary,616801,9491160,2163
SRR5924454,0.4625684925154056,0.5288743382853572,0.7962701827860142,Engineered:Wastewater:Activated Sludge,42181502,52973856,1471
SRR6323523,0.7844548573174221,0.8841614695323066,0.8758545672603296,Host-associated:Birds:Digestive system,22271039,25427782,2655
SRR6490004,0.5600540176915758,0.4837697629731136,0.6944104675859598,Host-associated:Microbial:Bacteria,35542379,51183530,255
SRR6490006,0.5567911349285708,0.4852381149254211,0.6835216823237363,Host-associated:Microbial:Bacteria,20145399,29472948,385
SRR6714105,0.7702113714473451,0.8852392214736274,0.89192486316996,Host-associated:Human:Digestive system,33130863,37145352,4189
SRR6765262,0.4057793539973461,0.5288151584244044,0.7629111968568675,Host-associated:Birds:Digestive system,1518088,1989862,2021
SRR7299214,0.2897062042323917,0.3508630865823824,0.4030796822654816,Engineered:Solid waste:Landfill,6705137,16634768,3762
SRR7610133,0.2896299966172027,0.2962191605254726,0.5102709894466013,Host-associated:Fish:Digestive system,3058996,5994846,509
SRR9109404,0.6123348133271594,0.6280794336515163,0.6469121023529161,Host-associated:Fish:Digestive system,25075735,38762198,1110
SRR975540,0.4254577549907519,0.4460637661338576,0.5573218430286733,Engineered:Lab Synthesis:Genetic cross,2349388,4215496,103
